id,filename,group,category,index_in_set,image_path,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev,label,imageID
ai_cityscape_00064,ai_cityscape_00064.jpg,ai,cityscape,64,images/ai_cityscape_00064.jpg,186,64.4407,72,58.1054,139,47.2968,AI Cityscape 00064,154
ai_cityscape_00065,ai_cityscape_00065.jpg,ai,cityscape,65,images/ai_cityscape_00065.jpg,84,40.8089,83,38.7698,158,74.6385,AI Cityscape 00065,155
ai_cityscape_00066,ai_cityscape_00066.jpg,ai,cityscape,66,images/ai_cityscape_00066.jpg,199,36.2819,10,7.7896,18,39.0516,AI Cityscape 00066,156
ai_cityscape_00067,ai_cityscape_00067.jpg,ai,cityscape,67,images/ai_cityscape_00067.jpg,146,60.0864,14,21.6933,127,68.5505,AI Cityscape 00067,157
ai_cityscape_00068,ai_cityscape_00068.jpg,ai,cityscape,68,images/ai_cityscape_00068.jpg,72,59.236,91,45.1451,150,84.8939,AI Cityscape 00068,158
ai_cityscape_00069,ai_cityscape_00069.jpg,ai,cityscape,69,images/ai_cityscape_00069.jpg,106,53.607,54,28.0929,140,48.2427,AI Cityscape 00069,159
ai_cityscape_00070,ai_cityscape_00070.jpg,ai,cityscape,70,images/ai_cityscape_00070.jpg,99,51.7098,84,43.2494,146,32.5681,AI Cityscape 00070,160
ai_cityscape_00071,ai_cityscape_00071.jpg,ai,cityscape,71,images/ai_cityscape_00071.jpg,76,53.545,35,27.0422,130,56.3228,AI Cityscape 00071,161
ai_cityscape_00072,ai_cityscape_00072.jpg,ai,cityscape,72,images/ai_cityscape_00072.jpg,69,45.4,101,43.6719,135,30.0437,AI Cityscape 00072,162
ai_cityscape_00073,ai_cityscape_00073.jpg,ai,cityscape,73,images/ai_cityscape_00073.jpg,165,68.717,80,37.0588,13,90.4973,AI Cityscape 00073,163
