filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
ai_landscape_00021.jpg	201	96	55.419	123	65.5395	51	48.5852
ai_landscape_00022.jpg	202	224	31.0737	28	39.4713	143	63.7032
ai_landscape_00023.jpg	203	237	82.2899	6	18.5583	49	26.2604
ai_landscape_00024.jpg	204	148	40.6367	91	50.5093	24	61.3729
ai_landscape_00025.jpg	205	103	48.7898	107	53.376	41	47.8562
ai_landscape_00026.jpg	206	139	53.7892	43	44.9751	72	47.7194
ai_landscape_00027.jpg	207	197	53.1722	56	48.6048	139	62.8127
ai_landscape_00028.jpg	208	203	49.9592	42	29.5204	141	59.5103
ai_landscape_00029.jpg	209	134	61.6954	86	64.7054	41	46.5208
ai_landscape_00030.jpg	210	148	45.4142	61	56.9829	47	55.3005
ai_landscape_00031.jpg	211	153	60.5375	45	26.4907	146	60.3413
ai_landscape_00032.jpg	212	74	56.7835	37	25.8131	130	44.0284
ai_landscape_00033.jpg	213	70	35.5488	127	74.5064	21	39.3906
ai_landscape_00034.jpg	214	122	36.5651	134	50.6277	38	34.396
ai_landscape_00035.jpg	215	88	49.9088	76	35.6839	38	53.1873
ai_landscape_00036.jpg	216	87	57.7223	50	60.7378	61	63.142
ai_landscape_00037.jpg	217	94	56.91	43	40.8416	40	9.7899
ai_landscape_00038.jpg	218	99	59.3558	89	37.9927	104	52.7077
ai_landscape_00039.jpg	219	112	51.7745	109	60.8247	23	51.4683
ai_landscape_00040.jpg	220	124	60.9053	78	57.7919	85	36.3381
ai_landscape_00041.jpg	221	89	48.5952	81	40.0405	135	42.5379
ai_landscape_00042.jpg	222	161	40.9978	125	51.0352	27	27.7558
ai_landscape_00043.jpg	223	92	44.0701	58	54.1596	55	51.8019
ai_landscape_00044.jpg	224	169	44.8839	134	61.4276	150	55.1499
ai_landscape_00045.jpg	225	159	55.411	72	63.4957	151	68.6064
ai_landscape_00046.jpg	226	117	45.667	77	69.344	54	48.6253
ai_landscape_00047.jpg	227	112	38.4095	111	41.3389	169	14.5725
ai_landscape_00048.jpg	228	82	53.3006	71	35.6082	140	44.7328
ai_landscape_00049.jpg	229	103	52.4461	83	65.9512	35	20.7452
ai_landscape_00050.jpg	230	112	51.8805	55	44.4814	52	59.2625
ai_landscape_00051.jpg	231	62	48.556	62	49.2079	26	65.5964
ai_landscape_00052.jpg	232	96	47.7543	34	53.4561	58	53.9911
ai_landscape_00053.jpg	233	160	46.1346	53	39.4737	31	58.385
ai_landscape_00054.jpg	234	181	39.0933	31	34.5855	72	48.3234
ai_landscape_00055.jpg	235	97	71.5176	102	70.841	50	59.2877
ai_landscape_00056.jpg	236	175	41.0142	45	20.1574	154	13.9014
ai_landscape_00057.jpg	237	134	44.0164	63	42.0748	57	42.1939
ai_landscape_00058.jpg	238	103	54.0635	86	56.2801	85	39.3514
ai_landscape_00059.jpg	239	171	43.1484	68	50.6115	28	56.0462
ai_landscape_00060.jpg	240	201	67.2758	7	72.3334	19	32.2152
ai_landscape_00061.jpg	241	113	44.599	98	57.8308	36	77.4845
ai_landscape_00062.jpg	242	131	50.4013	149	60.4366	73	51.2571
ai_landscape_00063.jpg	243	94	42.2205	74	68.075	82	40.1114
ai_landscape_00064.jpg	244	151	50.0822	111	60.1961	59	43.6562
ai_landscape_00065.jpg	245	208	31.8657	47	31.4131	146	48.594
ai_landscape_00066.jpg	246	180	46.1792	26	14.1719	147	56.6479
ai_landscape_00067.jpg	247	81	62.8248	63	60.6513	43	62.3784
ai_landscape_00068.jpg	248	179	49.4005	59	57.3632	24	53.5304
ai_landscape_00069.jpg	249	103	40.7894	70	51.2801	28	58.0434
ai_landscape_00070.jpg	250	204	53.6719	8	58.137	116	54.2856
ai_landscape_00071.jpg	251	193	53.1622	11	20.1908	26	30.7071
ai_landscape_00072.jpg	252	112	37.802	78	58.1209	126	49.0633
ai_landscape_00073.jpg	253	79	46.8388	55	58.4043	93	62.4332
ai_landscape_00074.jpg	254	77	48.0383	143	59.1474	63	24.2452
ai_landscape_00075.jpg	255	70	58.6187	65	44.0888	28	111.1324
ai_landscape_00076.jpg	256	189	38.2645	25	31.2153	130	46.9271
ai_landscape_00077.jpg	257	161	22.8216	61	33.422	140	50.2215
ai_landscape_00078.jpg	258	174	62.1495	62	35.3186	196	51.795
ai_landscape_00079.jpg	259	182	31.4367	22	36.1489	180	72.5108
ai_landscape_00080.jpg	260	150	52.0023	101	71.7978	32	41.7923
ai_landscape_00081.jpg	261	144	48.3215	91	51.0526	19	71.8797
ai_landscape_00082.jpg	262	96	52.1646	68	65.2441	23	77.6822
ai_landscape_00083.jpg	263	169	45.131	47	69.8891	20	78.1571
ai_landscape_00084.jpg	264	126	40.5117	100	38.0678	30	58.326
ai_landscape_00085.jpg	265	157	49.9922	86	45.7461	227	90.593
ai_landscape_00086.jpg	266	126	55.0722	81	44.4846	151	63.6077
ai_landscape_00087.jpg	267	161	51.2818	161	57.3686	51	65.5155
ai_landscape_00088.jpg	268	180	72.2369	149	20.7225	20	3.0137
ai_landscape_00089.jpg	269	213	73.9509	6	50.2509	30	50.4056
ai_landscape_00090.jpg	270	115	53.5677	91	44.4264	55	60.1103
ai_portrait_00001.jpg	271	93	49.5561	55	40.3098	23	48.8252
ai_portrait_00002.jpg	272	148	57.2624	95	27.6148	10	18.3998
ai_portrait_00003.jpg	273	135	51.1324	60	17.7089	9	88.7593
ai_portrait_00004.jpg	274	206	53.5717	47	35.0635	11	77.4113
ai_portrait_00005.jpg	275	166	41.5163	172	33.1347	193	17.9827
ai_portrait_00006.jpg	276	192	47.524	45	48.2111	48	67.5218
ai_portrait_00007.jpg	277	173	47.8379	106	52.6962	15	19.4155
ai_portrait_00008.jpg	278	40	46.6293	76	45.4711	14	81.9358
ai_portrait_00009.jpg	279	114	41.5167	61	35.5564	15	54.1888
ai_portrait_00010.jpg	280	215	70.4068	71	50.7663	9	67.7689
ai_portrait_00011.jpg	281	192	34.707	30	29.0669	24	42.2352
ai_portrait_00012.jpg	282	59	44.7824	76	27.0733	15	22.5368
ai_portrait_00013.jpg	283	133	56.1795	61	50.9765	16	58.1795
ai_portrait_00014.jpg	284	191	71.7425	90	44.5811	19	60.0588
ai_portrait_00015.jpg	285	70	49.0843	0	4.7166	0	26.3982
ai_portrait_00016.jpg	286	254	83.7933	0	42.293	0	52.7008
ai_portrait_00017.jpg	287	103	57.9248	35	24.898	15	73.3482
ai_portrait_00018.jpg	288	212	28.4622	71	38.9904	18	15.4696
ai_portrait_00019.jpg	289	177	55.8513	84	34.0909	13	78.1054
ai_portrait_00020.jpg	290	212	26.1697	71	36.6786	17	13.0352
