"image_id","brightness_median","brightness_stdev","saturation_median","saturation_stdev","hue_median","hue_stdev","group","category"
28,148,45.41,61,56.98,47,55.3,"AI","Manzara"
29,153,60.54,45,26.49,146,60.34,"AI","Manzara"
30,74,56.78,37,25.81,130,44.03,"AI","Manzara"
31,112,37.8,78,58.12,126,49.06,"AI","Manzara"
32,70,35.55,127,74.51,21,39.39,"AI","Manzara"
33,122,36.57,134,50.63,38,34.4,"AI","Manzara"
34,88,49.91,76,35.68,38,53.19,"AI","Manzara"
35,87,57.72,50,60.74,61,63.14,"AI","Manzara"
36,94,56.91,43,40.84,40,9.79,"AI","Manzara"
37,99,59.36,89,37.99,104,52.71,"AI","Manzara"
38,112,51.77,109,60.82,23,51.47,"AI","Manzara"
39,79,46.84,55,58.4,93,62.43,"AI","Manzara"
40,124,60.91,78,57.79,85,36.34,"AI","Manzara"
41,89,48.6,81,40.04,135,42.54,"AI","Manzara"
42,129,48.31,83,44.77,50,51.97,"AI","Manzara"
43,161,41,125,51.04,27,27.76,"AI","Manzara"
44,92,44.07,58,54.16,55,51.8,"AI","Manzara"
45,169,44.88,134,61.43,150,55.15,"AI","Manzara"
46,159,55.41,72,63.5,151,68.61,"AI","Manzara"
47,117,45.67,77,69.34,54,48.63,"AI","Manzara"
48,112,38.41,111,41.34,169,14.57,"AI","Manzara"
49,82,53.3,71,35.61,140,44.73,"AI","Manzara"
50,103,52.45,83,65.95,35,20.75,"AI","Manzara"
51,112,51.88,55,44.48,52,59.26,"AI","Manzara"
52,62,48.56,62,49.21,26,65.6,"AI","Manzara"
53,137,45.84,51,70.89,35,47.69,"AI","Manzara"
54,96,47.75,34,53.46,58,53.99,"AI","Manzara"
55,160,46.13,53,39.47,31,58.38,"AI","Manzara"
56,181,39.09,31,34.59,72,48.32,"AI","Manzara"
57,97,71.52,102,70.84,50,59.29,"AI","Manzara"
58,175,41.01,45,20.16,154,13.9,"AI","Manzara"
59,134,44.02,63,42.07,57,42.19,"AI","Manzara"
60,103,54.06,86,56.28,85,39.35,"AI","Manzara"
61,171,43.15,68,50.61,28,56.05,"AI","Manzara"
62,201,67.28,7,72.33,19,32.22,"AI","Manzara"
63,242,48.6,19,49.67,145,57.77,"AI","Manzara"
64,113,44.6,98,57.83,36,77.48,"AI","Manzara"
65,131,50.4,149,60.44,73,51.26,"AI","Manzara"
66,94,42.22,74,68.08,82,40.11,"AI","Manzara"
67,151,50.08,111,60.2,59,43.66,"AI","Manzara"
68,208,31.87,47,31.41,146,48.59,"AI","Manzara"
69,180,46.18,26,14.17,147,56.65,"AI","Manzara"
70,77,48.04,143,59.15,63,24.25,"AI","Manzara"
71,81,62.82,63,60.65,43,62.38,"AI","Manzara"
72,179,49.4,59,57.36,24,53.53,"AI","Manzara"
73,198,64.48,17,38.91,106,52.83,"AI","Manzara"
74,103,40.79,70,51.28,28,58.04,"AI","Manzara"
75,70,58.62,65,44.09,28,111.13,"AI","Manzara"
76,189,38.26,25,31.22,130,46.93,"AI","Manzara"
77,161,22.82,61,33.42,140,50.22,"AI","Manzara"
78,174,62.15,62,35.32,196,51.8,"AI","Manzara"
79,182,31.44,22,36.15,180,72.51,"AI","Manzara"
80,150,52,101,71.8,32,41.79,"AI","Manzara"
81,144,48.32,91,51.05,19,71.88,"AI","Manzara"
82,96,52.16,68,65.24,23,77.68,"AI","Manzara"
83,169,45.13,47,69.89,20,78.16,"AI","Manzara"
84,126,40.51,100,38.07,30,58.33,"AI","Manzara"
85,157,49.99,86,45.75,227,90.59,"AI","Manzara"
86,126,55.07,81,44.48,151,63.61,"AI","Manzara"
87,161,51.28,161,57.37,51,65.52,"AI","Manzara"
88,180,72.24,149,20.72,20,3.01,"AI","Manzara"
89,213,73.95,6,50.25,30,50.41,"AI","Manzara"
90,115,53.57,91,44.43,55,60.11,"AI","Manzara"
1,137,82.04,79,63.4,134,53.52,"Human","Manzara"
2,193,90.27,143,73.26,142,38.55,"Human","Manzara"
3,142,72.5,108,75.99,132,40.22,"Human","Manzara"
4,198,55.71,155,64.41,148,27.41,"Human","Manzara"
5,213,69.14,110,79.69,142,31.73,"Human","Manzara"
6,195,78.81,176,75.44,144,44.74,"Human","Manzara"
7,194,83.16,183,75.42,146,28.17,"Human","Manzara"
8,103,53.21,110,61.61,60,61.32,"Human","Manzara"
9,118,68.95,130,49.31,144,56.12,"Human","Manzara"
10,128,77.53,106,56.2,61,27.13,"Human","Manzara"
11,101,46.75,74,64.22,139,60.06,"Human","Manzara"
12,113,41.39,84,75.43,103,48.62,"Human","Manzara"
13,119,58.34,107,68.63,47,62.5,"Human","Manzara"
14,69,72.16,145,61.23,40,48.98,"Human","Manzara"
15,144,73.46,40,56.29,48,62.67,"Human","Manzara"
16,205,88.01,34,39.09,148,49.13,"Human","Manzara"
17,84,59.17,63,69.31,146,69.52,"Human","Manzara"
18,134,36.96,111,44,146,31.76,"Human","Manzara"
19,228,54.03,6,45.39,79,58.83,"Human","Manzara"
20,212,41.3,16,21.67,155,46.81,"Human","Manzara"
21,102,72.11,102,57.52,56,45.06,"Human","Manzara"
22,149,55.36,134,70.26,25,65.22,"Human","Manzara"
23,143,69.07,53,54.13,21,74.78,"Human","Manzara"
24,193,76.04,72,73.31,31,58.77,"Human","Manzara"
25,121,84.04,244,80.74,146,21.2,"Human","Manzara"
26,171,87.84,137,64.42,126,56.09,"Human","Manzara"
27,74,67.82,81,78.19,147,56.95,"Human","Manzara"
28,65,75.57,55,73.28,98,45.71,"Human","Manzara"
29,152,61.87,28,77.3,123,46.98,"Human","Manzara"
30,87,54.76,114,59.73,58,66.64,"Human","Manzara"
31,110,57.04,117,51.93,127,54.41,"Human","Manzara"
32,134,37.98,146,57.97,144,37.63,"Human","Manzara"
33,247,65.1,46,19.58,150,24.43,"Human","Manzara"
34,169,59.59,9,27.63,60,20.98,"Human","Manzara"
35,193,63.53,50,63.42,126,50.63,"Human","Manzara"
36,170,70.25,119,56.74,140,35.23,"Human","Manzara"
37,192,68.08,122,32.99,145,49.84,"Human","Manzara"
38,169,68.02,35,66.66,139,47.73,"Human","Manzara"
39,89,74.66,89,43.52,145,93.9,"Human","Manzara"
40,98,62.29,119,62.05,72,36.13,"Human","Manzara"
41,204,66.12,134,63.63,134,51.82,"Human","Manzara"
42,69,62.42,181,75.9,46,37.89,"Human","Manzara"
43,174,63.93,58,53.87,70,45.24,"Human","Manzara"
44,195,57.71,118,62.17,46,41.46,"Human","Manzara"
45,164,58.54,7,29.43,135,57.21,"Human","Manzara"
46,202,52.69,46,19.82,148,23.47,"Human","Manzara"
47,122,73.42,59,52.23,29,71.07,"Human","Manzara"
48,80,53.97,120,34.99,40,14.84,"Human","Manzara"
49,74,44.78,106,42.83,42,26.01,"Human","Manzara"
50,170,58.55,29,56.4,113,55.68,"Human","Manzara"
51,118,60.16,89,40.25,39,54.6,"Human","Manzara"
52,181,64.08,103,82.22,142,24.65,"Human","Manzara"
53,89,85.69,46,77.13,45,55.66,"Human","Manzara"
54,170,78.3,126,93.7,137,42.24,"Human","Manzara"
55,223,84.87,143,41.89,149,29.51,"Human","Manzara"
56,136,60.63,27,46.34,60,54.54,"Human","Manzara"
57,56,81.18,80,26.65,139,28.24,"Human","Manzara"
58,218,68.13,79,46.86,147,65.67,"Human","Manzara"
59,236,74.75,88,37.75,150,65.32,"Human","Manzara"
60,145,74.27,36,54.56,144,72,"Human","Manzara"
61,141,83.34,42,63.44,42,67.8,"Human","Manzara"
62,63,37.58,68,56.47,141,37.32,"Human","Manzara"
63,100,73.11,98,75.99,49,47.12,"Human","Manzara"
64,178,74.22,42,65.55,30,17.66,"Human","Manzara"
65,173,57.82,28,41.15,123,41.34,"Human","Manzara"
66,161,62.15,52,50.95,70,46.96,"Human","Manzara"
67,126,68.19,60,56.26,65,50.81,"Human","Manzara"
68,133,51.23,60,46.19,123,36.25,"Human","Manzara"
69,206,61.07,51,42.83,67,54.86,"Human","Manzara"
70,124,59.23,74,65.98,37,44.09,"Human","Manzara"
71,126,75.13,68,49.08,147,59.23,"Human","Manzara"
72,154,38.09,214,51.12,150,62.13,"Human","Manzara"
73,212,62.47,104,40.34,147,32.25,"Human","Manzara"
74,152,60.27,123,54.01,141,50.97,"Human","Manzara"
75,131,63.56,100,60.61,49,67.71,"Human","Manzara"
76,178,69.49,51,47.68,21,49.12,"Human","Manzara"
77,141,86.27,91,77.29,24,48.21,"Human","Manzara"
78,182,68.24,76,49.51,46,42.5,"Human","Manzara"
79,139,59.05,50,42.65,154,72.79,"Human","Manzara"
80,167,34.23,66,42.95,22,5.04,"Human","Manzara"
81,112,66.55,87,34.56,21,61.71,"Human","Manzara"
82,165,45.96,29,35.95,134,66.87,"Human","Manzara"
83,147,62.6,19,73.25,49,56.89,"Human","Manzara"
84,188,57.28,44,50.26,139,57.46,"Human","Manzara"
85,117,59.3,60,69.1,58,57.2,"Human","Manzara"
86,172,71.05,70,61.64,58,54.24,"Human","Manzara"
87,114,39.67,55,28.48,77,50.33,"Human","Manzara"
88,104,72.73,44,31.41,127,59.92,"Human","Manzara"
89,124,89.88,52,39.89,135,51.18,"Human","Manzara"
90,201,67.27,62,44.2,153,52.24,"Human","Manzara"
1,193,74.4,210,76.71,29,8.99,"AI","Soyut"
2,155,53.94,53,33.75,31,8.98,"AI","Soyut"
3,148,38.44,141,25.46,27,13.49,"AI","Soyut"
4,157,58.29,147,32.41,187,13.28,"AI","Soyut"
5,185,36.63,176,61.3,185,40.67,"AI","Soyut"
6,119,58.06,85,55.78,29,52.84,"AI","Soyut"
7,105,58.39,46,31.17,42,48.59,"AI","Soyut"
8,205,66.71,30,53.02,166,69.9,"AI","Soyut"
9,167,57.56,63,33.66,221,50.71,"AI","Soyut"
10,226,31.68,11,16.94,18,43.14,"AI","Soyut"
11,219,52.57,5,33.87,42,28.47,"AI","Soyut"
12,211,33.9,118,45.5,142,72.39,"AI","Soyut"
13,144,45.54,88,29.34,23,48.83,"AI","Soyut"
14,124,62.94,77,48.65,141,37.37,"AI","Soyut"
15,194,44.65,83,46.91,29,83.27,"AI","Soyut"
16,47,70.02,56,46.11,155,76.34,"AI","Soyut"
17,69,57.48,112,54.25,29,48.2,"AI","Soyut"
18,254,96.75,0,53.9,0,37.05,"AI","Soyut"
19,248,27.81,5,52.48,13,93.25,"AI","Soyut"
20,140,32.72,169,28.27,19,31.87,"AI","Soyut"
